RecordNumber,SourceName,TaskCategory,EventCode,EventType,cluster
7680,Windows Error Reporting,23,1001,4,0
7679,Windows Error Reporting,23,1001,4,0
7678,Windows Error Reporting,23,1001,4,0
7677,Windows Error Reporting,23,1001,4,0
7676,Windows Error Reporting,23,1001,4,0
7650,Microsoft-Windows-RestartManager,23,10010,3,0
7649,Microsoft-Windows-RestartManager,23,10010,3,0
7638,Windows Error Reporting,23,1001,4,0
7637,Windows Error Reporting,23,1001,4,0
7636,Windows Error Reporting,23,1001,4,0
7635,Windows Error Reporting,23,1001,4,0
7634,Windows Error Reporting,23,1001,4,0
7633,Windows Error Reporting,23,1001,4,0
7632,Windows Error Reporting,23,1001,4,0
7631,Windows Error Reporting,23,1001,4,0
7616,Windows Error Reporting,23,1001,4,0
7615,Windows Error Reporting,23,1001,4,0
7607,MsiInstaller,23,1033,4,0
7603,Microsoft-Windows-CAPI2,23,513,2,0
7594,Windows Error Reporting,23,1001,4,0
7587,Windows Error Reporting,23,1001,4,0
7586,Windows Error Reporting,23,1001,4,0
7585,Windows Error Reporting,23,1001,4,0
7584,Windows Error Reporting,23,1001,4,0
7580,Windows Error Reporting,23,1001,4,0
7579,Windows Error Reporting,23,1001,4,0
7571,Windows Error Reporting,23,1001,4,0
7558,Microsoft-Windows-COMRuntime,23,10031,2,0
7557,Windows Error Reporting,23,1001,4,0
7556,Microsoft-Windows-COMRuntime,23,10031,2,0
7541,Windows Error Reporting,23,1001,4,0
7540,Windows Error Reporting,23,1001,4,0
7539,Windows Error Reporting,23,1001,4,0
7538,Windows Error Reporting,23,1001,4,0
7537,Windows Error Reporting,23,1001,4,0
7536,Windows Error Reporting,23,1001,4,0
7535,Windows Error Reporting,23,1001,4,0
7534,Windows Error Reporting,23,1001,4,0
7533,Application Error,1,1000,2,0
7530,Windows Error Reporting,23,1001,4,0
7529,Windows Error Reporting,23,1001,4,0
7528,Windows Error Reporting,23,1001,4,0
7527,Windows Error Reporting,23,1001,4,0
7526,Windows Error Reporting,23,1001,4,0
7514,Windows Error Reporting,23,1001,4,0
7513,Windows Error Reporting,23,1001,4,0
7512,Windows Error Reporting,23,1001,4,0
7511,Windows Error Reporting,23,1001,4,0
7501,Microsoft-Windows-COMRuntime,23,10031,2,0
7498,igfxCUIService2.0.0.0,14,0,4,1
7497,igfxCUIService2.0.0.0,14,0,4,1
7495,igfxCUIService2.0.0.0,14,0,4,1
7494,igfxCUIService2.0.0.0,14,0,4,1
7489,igfxCUIService2.0.0.0,14,0,4,1
7488,igfxCUIService2.0.0.0,14,0,4,1
7483,Application Error,1,1000,2,0
7431,iPod Service,14,0,4,1
7426,Microsoft-Windows-Search,18,1003,4,1
7409,Windows Error Reporting,23,1001,4,0
7400,igfxCUIService2.0.0.0,14,0,4,1
7399,igfxCUIService2.0.0.0,14,0,4,1
7398,igfxCUIService2.0.0.0,14,0,4,1
7397,igfxCUIService2.0.0.0,14,0,4,1
7390,NVNetworkService,14,0,4,1
7358,MsiInstaller,23,1033,4,0
7352,Microsoft-Windows-RestartManager,23,10010,3,0
7351,Microsoft-Windows-RestartManager,23,10010,3,0
7342,MsiInstaller,23,1033,4,0
7324,Microsoft-Windows-Perflib,23,1008,2,0
7318,Microsoft-Windows-CAPI2,23,513,2,0
7297,iPod Service,14,0,4,1
7285,Microsoft-Windows-Search,18,1003,4,1
7273,igfxCUIService2.0.0.0,14,0,4,1
7272,igfxCUIService2.0.0.0,14,0,4,1
7270,igfxCUIService2.0.0.0,14,0,4,1
7269,igfxCUIService2.0.0.0,14,0,4,1
7263,NVNetworkService,14,0,4,1
7252,igfxCUIService2.0.0.0,14,0,4,1
7251,igfxCUIService2.0.0.0,14,0,4,1
7247,Windows Error Reporting,23,1001,4,0
7238,Windows Error Reporting,23,1001,4,0
7237,Windows Error Reporting,23,1001,4,0
7199,Windows Error Reporting,23,1001,4,0
7198,Windows Error Reporting,23,1001,4,0
7195,igfxCUIService2.0.0.0,14,0,4,1
7194,igfxCUIService2.0.0.0,14,0,4,1
7192,igfxCUIService2.0.0.0,14,0,4,1
7191,igfxCUIService2.0.0.0,14,0,4,1
7186,igfxCUIService2.0.0.0,14,0,4,1
7185,igfxCUIService2.0.0.0,14,0,4,1
7177,Windows Error Reporting,23,1001,4,0
7176,Windows Error Reporting,23,1001,4,0
7175,Windows Error Reporting,23,1001,4,0
7174,Windows Error Reporting,23,1001,4,0
7173,Windows Error Reporting,23,1001,4,0
7170,Windows Error Reporting,23,1001,4,0
7169,Windows Error Reporting,23,1001,4,0
7168,Windows Error Reporting,23,1001,4,0
7167,Windows Error Reporting,23,1001,4,0
7166,Windows Error Reporting,23,1001,4,0
7165,Windows Error Reporting,23,1001,4,0
7164,Windows Error Reporting,23,1001,4,0
7163,Windows Error Reporting,23,1001,4,0
7162,Windows Error Reporting,23,1001,4,0
7161,Windows Error Reporting,23,1001,4,0
7160,Windows Error Reporting,23,1001,4,0
7159,Windows Error Reporting,23,1001,4,0
7158,Windows Error Reporting,23,1001,4,0
7156,Windows Error Reporting,23,1001,4,0
7155,Windows Error Reporting,23,1001,4,0
7154,Windows Error Reporting,23,1001,4,0
39820,Microsoft-Windows-DNS Client Events,13,1014,3,0
39815,Microsoft-Windows-DNS Client Events,13,1014,3,0
39792,Microsoft-Windows-Time-Service,23,134,3,0
39779,Microsoft-Windows-Time-Service,23,134,3,0
39769,Microsoft-Windows-Time-Service,23,134,3,0
39746,Microsoft-Windows-Kernel-PnP,24,219,3,0
39745,Microsoft-Windows-Kernel-PnP,24,219,3,0
39678,Microsoft-Windows-DistributedCOM,23,10016,2,0
39677,Microsoft-Windows-DistributedCOM,23,10016,2,0
39676,Microsoft-Windows-DistributedCOM,23,10016,2,0
39670,Microsoft-Windows-Time-Service,23,134,3,0
39652,Microsoft-Windows-DistributedCOM,23,10016,2,0
39430,Microsoft-Windows-Kernel-PnP,24,219,3,0
39409,Microsoft-Windows-Kernel-PnP,24,219,3,0
39388,Microsoft-Windows-Kernel-PnP,24,219,3,0
39367,Microsoft-Windows-Kernel-PnP,24,219,3,0
39076,Microsoft-Windows-Kernel-PnP,24,219,3,0
39072,Microsoft-Windows-Kernel-PnP,24,219,3,0
39031,Microsoft-Windows-Kernel-PnP,24,219,3,0
39010,Microsoft-Windows-Kernel-PnP,24,219,3,0
38962,Microsoft-Windows-Kernel-PnP,24,219,3,0
38941,Microsoft-Windows-Kernel-PnP,24,219,3,0
38808,Microsoft-Windows-Kernel-PnP,24,219,3,0
38807,Microsoft-Windows-Kernel-PnP,24,219,3,0
38804,BTHUSB,23,16,2,0
38775,Microsoft-Windows-Kernel-PnP,24,219,3,0
38774,Microsoft-Windows-Kernel-PnP,24,219,3,0
38756,Microsoft-Windows-Kernel-PnP,24,219,3,0
38755,Microsoft-Windows-Kernel-PnP,24,219,3,0
38736,Microsoft-Windows-Kernel-PnP,24,219,3,0
38735,Microsoft-Windows-Kernel-PnP,24,219,3,0
38712,Microsoft-Windows-Kernel-PnP,24,219,3,0
38705,Microsoft-Windows-Kernel-PnP,24,219,3,0
38680,Microsoft-Windows-Kernel-PnP,24,219,3,0
38679,Microsoft-Windows-Kernel-PnP,24,219,3,0
38317,Microsoft-Windows-DNS Client Events,13,1014,3,0
38265,Microsoft-Windows-DNS Client Events,13,1014,3,0
38262,Microsoft-Windows-Time-Service,23,134,3,0
38261,Microsoft-Windows-DistributedCOM,23,10016,2,0
38260,Microsoft-Windows-DistributedCOM,23,10016,2,0
38259,Microsoft-Windows-DistributedCOM,23,10016,2,0
38254,Microsoft-Windows-Time-Service,23,134,3,0
